baseline_minutes,lag_seconds,metric,metric_label,event_fluctuation_correlation
120,-150,kv_p50_ms,KV transfer P50,-0.005387844426330388
120,-150,kv_p95_ms,KV transfer P95,0.026606243963615096
120,-150,kv_p99_ms,KV transfer P99,-0.004422641325785735
120,-150,ttft_avg_ms,TTFT average,-0.014078536908110622
120,-150,ttft_p95_ms,TTFT P95,-0.011206984665143615
120,-150,ttft_p99_ms,TTFT P99,0.009024946175050385
120,-120,kv_p50_ms,KV transfer P50,-0.006676062192472794
120,-120,kv_p95_ms,KV transfer P95,-0.012920581526645854
120,-120,kv_p99_ms,KV transfer P99,0.0318071703785753
120,-120,ttft_avg_ms,TTFT average,-0.00470108586502668
120,-120,ttft_p95_ms,TTFT P95,-0.027850025806854323
120,-120,ttft_p99_ms,TTFT P99,-0.021351355204698018
120,-90,kv_p50_ms,KV transfer P50,0.03312198309546967
120,-90,kv_p95_ms,KV transfer P95,-0.018282549099083546
120,-90,kv_p99_ms,KV transfer P99,-0.0002558053900927525
120,-90,ttft_avg_ms,TTFT average,0.04156385938468832
120,-90,ttft_p95_ms,TTFT P95,0.04131155199070199
120,-90,ttft_p99_ms,TTFT P99,0.007053935492880398
120,-60,kv_p50_ms,KV transfer P50,0.037643692494246254
120,-60,kv_p95_ms,KV transfer P95,0.004878885151337431
120,-60,kv_p99_ms,KV transfer P99,-0.002723776541216573
120,-60,ttft_avg_ms,TTFT average,0.05125049372986379
120,-60,ttft_p95_ms,TTFT P95,0.07088858596525667
120,-60,ttft_p99_ms,TTFT P99,0.03906660778342013
120,-30,kv_p50_ms,KV transfer P50,-0.01077991445761686
120,-30,kv_p95_ms,KV transfer P95,0.023271535490540115
120,-30,kv_p99_ms,KV transfer P99,0.030478502121562508
120,-30,ttft_avg_ms,TTFT average,-0.0029748424024442937
120,-30,ttft_p95_ms,TTFT P95,0.007778281841334029
120,-30,ttft_p99_ms,TTFT P99,0.0034029867439312558
120,0,kv_p50_ms,KV transfer P50,-0.00759574632654163
120,0,kv_p95_ms,KV transfer P95,0.03582913531591085
120,0,kv_p99_ms,KV transfer P99,0.03625652112212061
120,0,ttft_avg_ms,TTFT average,0.025279599466767496
120,0,ttft_p95_ms,TTFT P95,0.013881134091493191
120,0,ttft_p99_ms,TTFT P99,0.024497729008606754
120,30,kv_p50_ms,KV transfer P50,0.04491194193554958
120,30,kv_p95_ms,KV transfer P95,0.009417284442656692
120,30,kv_p99_ms,KV transfer P99,-0.015718154562584265
120,30,ttft_avg_ms,TTFT average,0.0663857508801454
120,30,ttft_p95_ms,TTFT P95,0.06146868363476202
120,30,ttft_p99_ms,TTFT P99,0.05676067162866393
120,60,kv_p50_ms,KV transfer P50,0.03438731558066492
120,60,kv_p95_ms,KV transfer P95,-0.003354025606929663
120,60,kv_p99_ms,KV transfer P99,0.017185937786427668
120,60,ttft_avg_ms,TTFT average,0.0465385555805761
120,60,ttft_p95_ms,TTFT P95,0.05429284084731963
120,60,ttft_p99_ms,TTFT P99,0.03639248449660409
120,90,kv_p50_ms,KV transfer P50,0.009675508888292873
120,90,kv_p95_ms,KV transfer P95,0.024973557351808524
120,90,kv_p99_ms,KV transfer P99,0.016099722195213113
120,90,ttft_avg_ms,TTFT average,-0.03395509640492805
120,90,ttft_p95_ms,TTFT P95,-0.035598067359321015
